track_name,main_artist,collaborator,popularity
Arya (with Nigo),A$AP Rocky,Nigo,50
WIN OR LOSE (feat. Chip Tha Ripper),Kid Cudi,Chip Tha Ripper,40
DIAMONDS LIGHTS FAST CARS (feat. Wiz Khalifa),Kid Cudi,Wiz Khalifa,38
Invincible (feat. Daniel Caesar),Omar Apollo,Daniel Caesar,64
I'M ON ONE (feat. Drake),Future,Drake,53
Money (feat. Juice WRLD & Nicki Minaj),Young Thug,Juice WRLD & Nicki Minaj,51
Metro Spider (with Young Thug),Metro Boomin,Young Thug,64
Bus Stop (feat. Brent Faiyaz),Don Toliver,Brent Faiyaz,50
Double R (feat. Lil Durk),Ty Dolla $ign,Lil Durk,33
Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,The Notorious B.I.G.,Puff Daddy & Mase,70
The World Is Filled... (feat. Too Short & Puff Daddy) - 2014 Remaster,The Notorious B.I.G.,Too Short & Puff Daddy,40
act ii: date @ 8 (feat. Drake) - remix,4batz,Drake,71
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,"Justin Bieber, Quavo, Chance the Rapper & Lil Wayne",69
Never Lose Me (feat. Lil Yachty),Flo Milli,Lil Yachty,62
Say Nada (feat. JME) - Remix,Shakka,JME,39
All The Stars (with SZA),Kendrick Lamar,SZA,86
lost souls (with Brent Faiyaz),Baby Keem,Brent Faiyaz,65
Patience (feat. Don Toliver),Lil Uzi Vert,Don Toliver,55
Cinderella (feat. Ty Dolla $ign),Mac Miller,Ty Dolla $ign,65
"CARNIVAL (feat. Rich The Kid, Playboi Carti)",¥$,"Rich The Kid, Playboi Carti",49
People Pleaser (feat. Guapdad 4000),Quadeca,Guapdad 4000,20
Killing Me Softly With His Song,Fugees,His Song,75
Nice & Slow - Radio Version,USHER,Slow - Radio Version,62
If I Ain't Got You (feat. Usher),Alicia Keys,Usher,45
Anywhere With You,Maggie Rogers,You,47
Watch (feat. Lil Uzi Vert & Kanye West),Travis Scott,Lil Uzi Vert & Kanye West,59
Compensating (feat. Young Thug),Aminé,Young Thug,48
SKITZO (feat. Young Thug),Travis Scott,Young Thug,68
Daddy Won't You Please Come Home (with The New Englanders),Annette Hanshaw,The New Englanders,24
Life Of The Party (with André 3000),Kanye West,André 3000,58
Girls Need Love (with Drake) - Remix,Summer Walker,Drake,76
Hide (feat. Seezyn),Juice WRLD,Seezyn,72
Lace It (with Eminem & benny blanco),Juice WRLD,benny blanco,65
Down With the Clique,Solange,the Clique,40
Hummingbird (Metro Boomin & James Blake),Metro Boomin,James Blake,64
Waiting For You (feat. Naomi Sharon),Majid Jordan,Naomi Sharon,53
The Girl Is Mine (with Paul McCartney),Michael Jackson,Paul McCartney,63
Touch (2021 Epilogue) [feat. Paul Williams],Daft Punk,Paul Williams,38
Touch (feat. Paul Williams),Daft Punk,Paul Williams,56
"RAF (feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean)",A$AP Mob,"A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean",53
Good Heels (feat. Jazmine Sullivan),Anderson .Paak,Jazmine Sullivan,52
"Blood and Rockets: Movement I, Saga of Jack Parsons - Movement II, Too the Moon",The Claypool Lennon Delirium,"Rockets: Movement I, Saga of Jack Parsons - Movement II, Too the Moon",38
Moment Of Your Life (feat. Coco Jones),Brent Faiyaz,Coco Jones,63
Disillusioned (with serpentwithfeet),Daniel Caesar,serpentwithfeet,67
Upset (feat. Tommy Richman & FELIX!),Brent Faiyaz,Tommy Richman & FELIX!,75
Young And Beautiful,Lana Del Rey,Beautiful,83
I Just Can't Stop Loving You (feat. Siedah Garrett) - 2012 Remaster,Michael Jackson,Siedah Garrett,55
The Night Me and Your Mama Met,Childish Gambino,Your Mama Met,21
First Person Shooter (feat. J. Cole),Drake,J. Cole,73
Feather (feat. Cise Starr & Akin from CYNE),Nujabes,Cise Starr & Akin from CYNE,63
Finesse - Remix; feat. Cardi B,Bruno Mars,Cardi B,74
Bloody Waters (with Anderson .Paak & James Blake),Ab-Soul,James Blake,49
Think Fast (feat. Weezer),Dominic Fike,Weezer,60
Evil Ways (feat. J. Cole),Drake,J. Cole,57
ANECDOTE (REMIX) [feat. Teezo Touchdown],Rahul,Teezo Touchdown,29
Over & Over,Dark Heart,Over,52
IDGAF (feat. Yeat),Drake,Yeat,75
AT THE PARTY (feat. Pharrell Williams & Travis Scott),Kid Cudi,Pharrell Williams & Travis Scott,44
"Essex Girls (feat. Jaykae, Silky & Janice Robinson)",Rude Kid,"Jaykae, Silky & Janice Robinson",51
The Mint (feat. Navy Blue),Earl Sweatshirt,Navy Blue,46
Johnny Dang (with Paul Wall & DRODi),That Mexican OT,DRODi,61
SAY MY GRACE (feat. Travis Scott),Offset,Travis Scott,70
Gently (feat. Bad Bunny),Drake,Bad Bunny,65
Members Only (feat. PARTYNEXTDOOR),Drake,PARTYNEXTDOOR,65
Calling For You (feat. 21 Savage),Drake,21 Savage,60
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,Ty Dolla $ign,74
Skepta and Jme (Freestyle),Tesfayee,Jme,0
EA (feat. 21 Savage),Young Nudy,21 Savage,70
