track_name,main_artist,collaborator,popularity
Knife Talk (with 21 Savage ft. Project Pat),Drake,Project Pat,74
Snow On The Beach (feat. Lana Del Rey),Taylor Swift,Lana Del Rey,66
Wine & Spirits,070 Shake,Spirits,33
We (feat. CeeLo Green),Mac Miller,CeeLo Green,60
Big Shot (with Travis Scott),Kendrick Lamar,Travis Scott,59
Arya (feat. A$AP Rocky),A$AP Rocky,A$AP Rocky,49
Tides (feat. AJ Tracey & Rich The Kid),KSI,AJ Tracey & Rich The Kid,0
Dang! (feat. Anderson .Paak),Mac Miller,Anderson .Paak,68
Low Life (feat. The Weeknd),Future,The Weeknd,82
Comin Out Strong (feat. The Weeknd),Future,The Weeknd,61
Slide (feat. Frank Ocean & Migos),Calvin Harris,Frank Ocean & Migos,66
Stuck with U (with Justin Bieber),Ariana Grande,U,78
Havana (feat. Young Thug),Camila Cabello,Young Thug,80
Life Is Good (feat. Drake),Future,Drake,70
Loft Music,The Weeknd,Music,56
WHAT TO DO? (feat. Don Toliver),JACKBOYS,Don Toliver,67
Ball For Me (feat. Nicki Minaj),Post Malone,Nicki Minaj,61
Willing To Trust (with Ty Dolla $ign),Kid Cudi,Ty Dolla $ign,36
The Law (feat. Mac Miller & Rapsody),Ab-Soul,Mac Miller & Rapsody,48
Jukebox Joints (feat. Joe Fox & Kanye West),A$AP Rocky,Joe Fox & Kanye West,72
"Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)",A$AP Ferg,Brent Faiyaz & Salaam Remi,75
Wandered To LA (with Justin Bieber),Juice WRLD,Justin Bieber,60
Girl Of My Dreams (with SUGA of BTS),Juice WRLD,SUGA of BTS,64
Essence (feat. Tems),Wizkid,Tems,70
Different (feat. Yung Bans),Future,Yung Bans,50
WAIT FOR U (feat. Drake & Tems),Future,Drake & Tems,81
LEMONHEAD (feat. 42 Dugg),"Tyler, The Creator",42 Dugg,60
Boredom (feat. Rex Orange County & Anna of the North),"Tyler, The Creator",Rex Orange County & Anna of the North,66
I Got the Keys (feat. JAY-Z & Future),DJ Khaled,JAY-Z & Future,42
"Ego Death (feat. Kanye West, FKA twigs & Skrillex)",Ty Dolla $ign,"Kanye West, FKA twigs & Skrillex",36
"Track 6 (feat. Kanye West, Anderson .Paak & Thundercat)",Ty Dolla $ign,"Kanye West, Anderson .Paak & Thundercat",38
Love Hurts (feat. Travis Scott),Playboi Carti,Travis Scott,65
Demon Time (feat. Ski Mask The Slump God),Trippie Redd,Ski Mask The Slump God,0
The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,Oh Wonder,76
Scrape It Off (feat. Lil Uzi Vert & Don Toliver),Pusha T,Lil Uzi Vert & Don Toliver,53
"Welcome to the Wonderful World of (feat. Sia, Diplo, and Labrinth)",Sia,"Sia, Diplo, and Labrinth",40
bad vibes forever (feat. PnB Rock & Trippie Redd),XXXTENTACION,PnB Rock & Trippie Redd,74
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,Nicki Minaj & Ty Dolla $ign,68
Spicy (feat. Post Malone),Ty Dolla $ign,Post Malone,62
Falling For You with Justin Bieber,Jaden,Justin Bieber,46
Fair Trade (with Travis Scott),Drake,Travis Scott,78
"God Is Fair, Sexy Nasty (feat. Kendrick Lamar)",Mac Miller,Kendrick Lamar,62
Planet God Damn (feat. Njomza),Mac Miller,Njomza,54
Goodbyes (feat. Young Thug),Post Malone,Young Thug,73
Lost in the Fire (feat. The Weeknd),Gesaffelstein,The Weeknd,80
Shoota (feat. Lil Uzi Vert),Playboi Carti,Lil Uzi Vert,73
What's the Move (feat. Lil Uzi Vert),Young Thug,Lil Uzi Vert,40
Bandit (with YoungBoy Never Broke Again),Juice WRLD,YoungBoy Never Broke Again,71
Chicago Freestyle (feat. Giveon),Drake,Giveon,76
McKay & Cassie,Labrinth,Cassie,45
WRONG (feat. Lil Mosey),The Kid LAROI,Lil Mosey,1
Girl (feat. KAYTRANADA),The Internet,KAYTRANADA,61
Kiss Me More (feat. SZA),Doja Cat,SZA,71
Euphoria (feat. Travis Scott & Kaash Paige),Don Toliver,Travis Scott & Kaash Paige,59
Maria I'm Drunk (feat. Justin Bieber & Young Thug),Travis Scott,Justin Bieber & Young Thug,70
LOVE & HATE (Prod. Gesaffelstein),KayCyy,HATE,21
Miss The Rage (feat. Playboi Carti),Trippie Redd,Playboi Carti,5
Rockstar Knights (with Trippie Redd),Kid Cudi,Trippie Redd,47
Lovin’ Me (feat. Phoebe Bridgers),Kid Cudi,Phoebe Bridgers,45
Weekend (feat. Miguel),Mac Miller,Miguel,75
That's Life (feat. Mac Miller & Sia),88-Keys,Mac Miller & Sia,59
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,Daniel Caesar & Giveon,77
Lifetime (with Ty Dolla $ign & 070 Shake),Swedish House Mafia,070 Shake,0
Mixed Personalities (feat. Kanye West),YNW Melly,Kanye West,65
Life's A Mess (feat. Halsey),Juice WRLD,Halsey,67
Deserve (feat. Travis Scott),Kris Wu,Travis Scott,40
Hot Shit (feat. Ye & Lil Durk),Cardi B,Ye & Lil Durk,55
Our Psychedelic Love Story feat. Babe Rainbow,Jaden,Babe Rainbow,27
Use Me (feat. 070 Shake),PVRIS,070 Shake,45
Tell Me U Luv Me (with Trippie Redd),Juice WRLD,Trippie Redd,61
Fell In Luv (feat. Bryson Tiller),Playboi Carti,Bryson Tiller,73
One Right Now (with The Weeknd),Post Malone,The Weeknd,65
Rain (feat. 070 Shake),KayCyy,070 Shake,24
KEEP IT BURNIN (feat. Kanye West),Future,Kanye West,50
Photo ID (with Dominic Fike),Remi Wolf,Dominic Fike,53
I Like You (A Happier Song) (with Doja Cat),Post Malone,Doja Cat,47
Rich & Sad,Post Malone,Sad,61
Mental [Feat. Saul Williams & Bridget Perez],Denzel Curry,Saul Williams & Bridget Perez,50
home with you,FKA twigs,you,48
Mother I Sober (feat. Beth Gibbons of Portishead),Kendrick Lamar,Beth Gibbons of Portishead,57
M3tamorphosis (feat. Kid Cudi),Playboi Carti,Kid Cudi,60
Go2DaMoon (feat. Kanye West),Playboi Carti,Kanye West,64
Back of My Mind (feat. Ty Dolla $ign),H.E.R.,Ty Dolla $ign,43
Lost Souls (ft. Fresco Trey),Vory,Fresco Trey,31
Potion (with Dua Lipa & Young Thug),Calvin Harris,Young Thug,61
Love/Hate Letter To Alcohol (with Fleet Foxes),Post Malone,Fleet Foxes,50
Make It (feat. The Weeknd) [DJAmg Remixer],AtariJones,The Weeknd,38
Over Now (with The Weeknd),Calvin Harris,The Weeknd,60
Pretty Little Fears (feat. J. Cole),6LACK,J. Cole,69
p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole,Lil Baby,67
Daylight ft. Ye,Vory,Ye,28
"Ain't No Way [Feat. 6LACK, Rico Nasty, J.I.D, Jasiah, Kitty Ca$h]",Denzel Curry,"6LACK, Rico Nasty, J.I.D, Jasiah, Kitty Ca$h",49
Where You Are (feat. WILLOW),PinkPantheress,WILLOW,52
Don’t Worry ‘Bout Me (with Fiona Apple),Jeff Goldblum & The Mildred Snitzer Orchestra,Fiona Apple,21
After Dark (feat. Static Major & Ty Dolla $ign),Drake,Static Major & Ty Dolla $ign,53
Brother's Keeper (feat. Pusha T),Anderson .Paak,Pusha T,36
Doves In The Wind (feat. Kendrick Lamar),SZA,Kendrick Lamar,69
Pray 4 Love (feat. The Weeknd),Travis Scott,The Weeknd,63
range brothers (with Kendrick Lamar),Baby Keem,Kendrick Lamar,43
FLIP THE SWITCH (feat. Drake),Quavo,Drake,56
Intimidated (feat. H.E.R.),KAYTRANADA,H.E.R.,69
Cooped Up (with Roddy Ricch),Post Malone,Roddy Ricch,57
"GRAVITY (FEAT. TYLER, THE CREATOR)",Brent Faiyaz,"TYLER, THE CREATOR",58
I’m Tired (with Zendaya) - Bonus Track,Labrinth,Zendaya,52
Sunshine & Lust Are No Longer Enough,Luna Luna,Lust Are No Longer Enough,23
Red Bentley (feat. Young Thug),Future,Young Thug,50
Lose My Cool (feat. NLE Choppa),070 Shake,NLE Choppa,37
Flaws And Sins,Juice WRLD,Sins,71
Lucid Dreams (feat. Lil Uzi Vert) - Remix,Juice WRLD,Lil Uzi Vert,60
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Pharrell Williams,Pharrell Williams and Nile Rodgers,77
VOODOO (feat. Kodak Black),Future,Kodak Black,47
Pain 1993 (with Playboi Carti),Drake,Playboi Carti,72
ON GOD (feat. Young Thug),Juice WRLD,Young Thug,58
Leaders (feat. NAV),Lil Uzi Vert,NAV,50
Got The Guap (feat. Young Thug),Lil Uzi Vert,Young Thug,49
Piss On Your Grave (feat. Kanye West),Travis Scott,Kanye West,56
Mr. Right Now (feat. Drake),21 Savage,Drake,65
Lithuania (feat. Travis Scott),Big Sean,Travis Scott,48
Dreamin Of The Past (feat. Kanye West),Pusha T,Kanye West,56
JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),"Tyler, The Creator",Lil Uzi Vert & Pharrell Williams,63
I Pray For You (feat. Labrinth & MALICE),Pusha T,Labrinth & MALICE,41
Music Sounds Better with You,NEIL FRANCES,You,1
boyfriend (with Social House),Ariana Grande,Social House,76
Rain (feat. Vince Staples),Mac Miller,Vince Staples,57
Polo Jeans (feat. Earl Sweatshirt),Mac Miller,Earl Sweatshirt,51
What Do You Do (feat. Sir Michael Rocks),Mac Miller,Sir Michael Rocks,46
Sunshine (feat. Lil Wayne & Childish Gambino),Latto,Lil Wayne & Childish Gambino,42
Soda (feat. Take A Daytrip),DJ Scheme,Take A Daytrip,38
XXX. FEAT. U2.,Kendrick Lamar,U2.,68
GREECE (feat. Drake),DJ Khaled,Drake,66
Lose Yourself to Dance (feat. Pharrell Williams),Daft Punk,Pharrell Williams,67
LOVE. FEAT. ZACARI.,Kendrick Lamar,ZACARI.,81
Over The Top (feat. Drake),Smiley,Drake,19
Heavy (with Lil Uzi Vert),Nigo,Lil Uzi Vert,42
No Child Left Behind,Kanye West,Behind,60
Heaven and Hell,Kanye West,Hell,57
Smoke Break (feat. Future),Chance the Rapper,Future,51
Get You (feat. Kali Uchis),Daniel Caesar,Kali Uchis,83
ARE YOU WITH THAT?,Vince Staples,THAT?,56
Pray For Me (with Kendrick Lamar),The Weeknd,Kendrick Lamar,66
Feel A Way (feat. Kanye West & Brent Faiyaz),2 Chainz,Kanye West & Brent Faiyaz,43
Fukk Sleep (feat. FKA twigs),A$AP Rocky,FKA twigs,64
Strawberry Peels (feat. Young Thug & Gunna),Lil Uzi Vert,Young Thug & Gunna,53
Wasting Time ( feat. Drake & The Neptunes ),Brent Faiyaz,Drake & The Neptunes,55
Livin It Up (with Post Malone & A$AP Rocky),Young Thug,A$AP Rocky,58
HOT WIND BLOWS (feat. Lil Wayne),"Tyler, The Creator",Lil Wayne,68
Rainbow Bap feat. ¿Téo? - Remix,Jaden,¿Téo? - Remix,34
Graduation (with Juice WRLD),benny blanco,Juice WRLD,61
Summer Fade (feat. Anna of the North),Snakehips,Anna of the North,38
Where This Flower Blooms (feat. Frank Ocean),"Tyler, The Creator",Frank Ocean,69
Who Dat Boy (feat. A$AP Rocky),"Tyler, The Creator",A$AP Rocky,64
In The Bible (with Lil Durk & Giveon),Drake,Giveon,62
OUTERSPACE (feat. Baby Keem),Don Toliver,Baby Keem,54
Pardon Me (Lil Yachty feat. Future & Mike WiLL Made-It),Lil Yachty,Future & Mike WiLL Made-It,71
Way Out (feat. Big Sean),Jack Harlow,Big Sean,59
"Me, Myself & I",G-Eazy,I,77
Dolly (with Lil Uzi Vert),Lil Tecca,Lil Uzi Vert,50
Uh Uh (feat. Playboi Carti),Chief Keef,Playboi Carti,0
THRU THE NIGHT (feat. Bryson Tiller),Jack Harlow,Bryson Tiller,60
Pothole (feat. Jaden Smith),"Tyler, The Creator",Jaden Smith,61
Had Enough (feat. Quavo & Offset),Don Toliver,Quavo & Offset,63
Staring At The Sun (feat. SZA),Post Malone,SZA,62
Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,Ozzy Osbourne & Travis Scott,72
Die For Me (feat. Future & Halsey),Post Malone,Future & Halsey,65
Enemies (feat. DaBaby),Post Malone,DaBaby,62
Mannequin Challenge (feat. Juice WRLD),Young Thug,Juice WRLD,58
The London (feat. J. Cole & Travis Scott),Young Thug,J. Cole & Travis Scott,66
Same Bitches (feat. G-Eazy & YG),Post Malone,G-Eazy & YG,57
Coke & Henny Pt. 2,Pink Sweat$,Henny Pt. 2,0
Baptize (with JID & EARTHGANG feat. Ant Clemons),Spillage Village,Ant Clemons,46
Don't Play (feat. The 1975 & Big Sean),Travis Scott,The 1975 & Big Sean,50
Nah Nah Nah (feat. DaBaby & 2 Chainz) - Remix,Kanye West,DaBaby & 2 Chainz,18
On & On,Cartoon,On,2
Ghostface Killers (feat. Travis Scott),21 Savage,Travis Scott,66
Bean (Kobe) [feat. Chief Keef],Lil Uzi Vert,Chief Keef,60
Wassup (feat. Future),Lil Uzi Vert,Future,48
No Auto (feat. Lil Durk),Lil Uzi Vert,Lil Durk,48
Money Spread (feat. Young Nudy),Lil Uzi Vert,Young Nudy,51
DOLLAZ ON MY HEAD (feat. Young Thug),Gunna,Young Thug,67
Smile (with The Weeknd),Juice WRLD,The Weeknd,53
Wassup (feat. Young Thug),Cordae,Young Thug,40
Laugh Now Cry Later (feat. Lil Durk),Drake,Lil Durk,73
Death (feat. DaBaby),Trippie Redd,DaBaby,0
"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,James Blake,0
Far Gone (feat. Lil Baby),Ski Mask The Slump God,Lil Baby,42
Neon Guts (feat. Pharrell Williams),Lil Uzi Vert,Pharrell Williams,48
iSpy (feat. Lil Yachty),KYLE,Lil Yachty,65
Crew (feat. Brent Faiyaz & Shy Glizzy),GoldLink,Brent Faiyaz & Shy Glizzy,73
No Guidance (feat. Drake),Chris Brown,Drake,75
Ring Ring (with Rvssian feat. Clever),Juice WRLD,Clever,0
UP THE SMOKE (with Offset),Stunna 4 Vegas,Offset,0
Hate The Other Side (with Marshmello & The Kid Laroi),Juice WRLD,The Kid Laroi,0
OUT WEST (feat. Young Thug),JACKBOYS,Young Thug,74
"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",Internet Money,"Don Toliver, Lil Uzi Vert & Gunna",4
all good (feat. Future),Roddy Ricch,Future,42
no way (feat. Jamie Foxx),Roddy Ricch,Jamie Foxx,33
murda one (feat. Fivio Foreign),Roddy Ricch,Fivio Foreign,36
don’t i (feat. Gunna),Roddy Ricch,Gunna,45
Wanted You (feat. Lil Uzi Vert),NAV,Lil Uzi Vert,57
When It's All Said And Done,Giveon,Done,49
Can't Leave You Alone (feat. Juice WRLD),Maroon 5,Juice WRLD,57
Mile High (feat. Travis Scott & Metro Boomin),James Blake,Travis Scott & Metro Boomin,64
Hop Off A Jet (feat. Travis Scott),Young Thug,Travis Scott,51
Company (feat. Future),24kGoldn,Future,50
Coco (feat. DaBaby),24kGoldn,DaBaby,56
Hate Me (with Juice WRLD),Ellie Goulding,Juice WRLD,67
Bad and Boujee (feat. Lil Uzi Vert),Migos,Lil Uzi Vert,2
Kelly Price (feat. Travis Scott),Migos,Travis Scott,0
"Cash Out (feat. ScHoolboy Q, PARTYNEXTDOOR & D.R.A.M.)",Calvin Harris,"ScHoolboy Q, PARTYNEXTDOOR & D.R.A.M.",46
durag activity (with Travis Scott),Baby Keem,Travis Scott,54
Tell The Vision (feat. Kanye West & Pusha T),Pop Smoke,Kanye West & Pusha T,55
Manslaughter (feat. Rick Ross & The-Dream),Pop Smoke,Rick Ross & The-Dream,46
Bout A Million (feat. 42 Dugg & 21 Savage),Pop Smoke,42 Dugg & 21 Savage,54
Brush Em (feat. Rah Swish),Pop Smoke,Rah Swish,46
Demeanor (feat. Dua Lipa),Pop Smoke,Dua Lipa,55
Lift Off,JAY-Z,Off,0
Teen X (feat. Future),Playboi Carti,Future,58
Drunk in Love Remix (feat. Jay-Z & Kanye West),Beyoncé,Jay-Z & Kanye West,61
Drugs N Hella Melodies (feat. Kali Uchis),Don Toliver,Kali Uchis,63
You (feat. Travis Scott),Don Toliver,Travis Scott,71
Diamonds From Sierra Leone - Remix feat. Jay-Z,Kanye West,Jay-Z,26
"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",Dreamville,"JID, Bas, J. Cole, EARTHGANG & Young Nudy",60
"Here We Go… Again (feat. Tyler, the Creator)",The Weeknd,"Tyler, the Creator",59
I Heard You’re Married (feat. Lil Wayne),The Weeknd,Lil Wayne,58
Turks (feat. Travis Scott),NAV,Travis Scott,58
Foreword (feat. Rex Orange County),"Tyler, The Creator",Rex Orange County,62
Garden Shed (feat. Estelle),"Tyler, The Creator",Estelle,64
"Really Redd (feat. Trippie Redd, Lil Keed, Young Nudy)",Internet Money,"Trippie Redd, Lil Keed, Young Nudy",0
"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,"Gunna, Don Toliver & NAV",5
Drip Too Hard (Lil Baby & Gunna),Lil Baby,Gunna,79
R.I.P. (feat. Trippie Redd),Joji,Trippie Redd,3
"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",Nicki Minaj,Bantu,56
Scared of the Dark (feat. XXXTENTACION),Lil Wayne,XXXTENTACION,68
Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,Billy Ray Cyrus,2
Martin & Gina,Polo G,Gina,76
Space Cadet (feat. Gunna),Metro Boomin,Gunna,77
Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,Skepta,81
Run It Up (feat. Offset & Moneybagg Yo),Lil Tjay,Offset & Moneybagg Yo,70
Godzilla (feat. Juice WRLD),Eminem,Juice WRLD,49
The Man on My Left Shoulder,Quadeca,Shoulder,0
Runner (feat. A$AP Ant & Lil Uzi Vert),A$AP Mob,A$AP Ant & Lil Uzi Vert,38
"Telephone Calls (feat. A$AP Rocky, Tyler, The Creator, Playboi Carti & Yung Gleesh)",A$AP Mob,"A$AP Rocky, Tyler, The Creator, Playboi Carti & Yung Gleesh",54
Killa Killa (feat. Aiyana Lee),KSI,Aiyana Lee,41
Gang Gang (feat. JAY1 & Deno),KSI,JAY1 & Deno,0
Rent Free (feat. GRACEY),KSI,GRACEY,0
No Time (feat. Lil Durk),KSI,Lil Durk,0
No Surprise (feat. Don Toliver & Bslime),Young Stoner Life,Don Toliver & Bslime,47
Moon Man (feat. Strick & Kid Cudi),Young Stoner Life,Strick & Kid Cudi,26
Life's A Mess II (with Clever & Post Malone),Juice WRLD,Post Malone,42
Slatty (feat. Yak Gotti & Lil Duke),Young Stoner Life,Yak Gotti & Lil Duke,51
Paid the Fine (feat. Lil Baby & YTB Trench),Young Stoner Life,Lil Baby & YTB Trench,48
Proud of You (feat. Lil Uzi Vert & Yung Kayo),Young Stoner Life,Lil Uzi Vert & Yung Kayo,47
Real (feat. Unfoonk),Young Stoner Life,Unfoonk,42
Pots N Pans (feat. Lil Duke & NAV),Young Stoner Life,Lil Duke & NAV,39
WokStar (feat. Strick & Skepta),Young Stoner Life,Strick & Skepta,40
Superstar (feat. Future),Young Stoner Life,Future,38
Came Out (feat. Lil Keed),Young Stoner Life,Lil Keed,42
Take Me Back to London (feat. Stormzy),Ed Sheeran,Stormzy,60
Antisocial (with Travis Scott),Ed Sheeran,Travis Scott,59
Remember The Name (feat. Eminem & 50 Cent),Ed Sheeran,Eminem & 50 Cent,64
Malibu (feat. Polo G),Migos,Polo G,49
Picasso (feat. Future),Migos,Future,46
What You See (feat. Justin Bieber),Migos,Justin Bieber,46
Antisocial (feat. Juice WRLD),Migos,Juice WRLD,51
Light It Up (feat. Pop Smoke),Migos,Pop Smoke,46
SLUGGER (feat. $NOT & slowthai),Kevin Abstract,$NOT & slowthai,39
"Something to Rap About (feat. Tyler, The Creator)",Freddie Gibbs,"Tyler, The Creator",58
WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),"Tyler, The Creator",Youngboy Never Broke Again & Ty Dolla $ign,71
RUNITUP (feat. Teezo Touchdown),"Tyler, The Creator",Teezo Touchdown,59
MANIFESTO (feat. Domo Genesis),"Tyler, The Creator",Domo Genesis,55
FRANCHISE (feat. Young Thug & M.I.A.),Travis Scott,Young Thug & M.I.A.,70
Love Lies (with Normani),Khalid,Normani,74
The Adventures of Moon Man & Slim Shady (with Eminem),Kid Cudi,Slim Shady,53
Lighter (feat. KSI),Nathan Dawe,KSI,53
Falcon (feat. Raury),Jaden,Raury,34
m y . l i f e (with 21 Savage & Morray),J. Cole,Morray,71
1 0 0 . m i l ‘ (with Bas),J. Cole,Bas,55
l e t . g o . m y . h a n d (with Bas & 6LACK),J. Cole,6LACK,61
Oh My Dis Side (feat. Quavo),Travis Scott,Quavo,63
Wasted (feat. Juicy J),Travis Scott,Juicy J,54
90210 (feat. Kacy Hill),Travis Scott,Kacy Hill,77
STAY (with Justin Bieber),The Kid LAROI,Justin Bieber,78
PILL BREAKER (feat. blackbear & Machine Gun Kelly),Trippie Redd,blackbear & Machine Gun Kelly,0
Mood (feat. iann dior),24kGoldn,iann dior,5
Solitaires (feat. Travis Scott),Future,Travis Scott,59
Trillionaire (feat. Youngboy Never Broke Again),Future,Youngboy Never Broke Again,54
100 Shooters (feat. Meek Mill & Doe Boy),Future,Meek Mill & Doe Boy,50
"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",Future,"Drake, DaBaby & Lil Baby",46
Yacht Club (feat. Juice WRLD),Lil Yachty,Juice WRLD,67
Show U Off (feat. Lil Uzi Vert),Lud Foe,Lil Uzi Vert,0
Half & Half,Playboi Carti,Half,57
Sossboy 2 (feat. Lil Uzi Vert),Pi’erre Bourne,Lil Uzi Vert,29
"NEON PEACH feat. Tyler, The Creator",Snoh Aalegra,"Tyler, The Creator",42
Come & Go (with Marshmello),Juice WRLD,Go,56
Heatin Up (feat. Gunna),Lil Baby,Gunna,44
Live Off My Closet (feat. Future),Lil Baby,Future,44
STUPID (feat. Yung Baby Tate),Ashnikko,Yung Baby Tate,63
Loose (feat. KSI),S1mba,KSI,42
ZEZE (feat. Travis Scott & Offset),Kodak Black,Travis Scott & Offset,74
POPSTAR (feat. Drake),DJ Khaled,Drake,65
Almighty (feat. HoodRich Pablo Juan),Gunna,HoodRich Pablo Juan,46
SMUCKERS (feat. Lil Wayne & Kanye West),"Tyler, The Creator",Lil Wayne & Kanye West,65
ROCKSTAR (feat. Roddy Ricch),DaBaby,Roddy Ricch,73
Hats Off (feat. Travis Scott),Lil Baby,Travis Scott,60
Up The Side (feat. Young Thug),Lil Baby,Young Thug,48
Black & Chinese,Huncho Jack,Chinese,56
Clash (feat. Stormzy),Dave,Stormzy,64
Law Of Attraction (feat. Snoh Aalegra),Dave,Snoh Aalegra,62
Rodeo - feat. Nas,Lil Nas X,Nas,52
Can't Stop (feat. Kanye West),Theophilus London,Kanye West,37
JETSKI (feat. Lil Mosey & Lil Tecca),Internet Money,Lil Mosey & Lil Tecca,1
Jet Lag (feat. Young Scooter),Future,Young Scooter,55
Oxy (feat. Lil Wayne),Future,Lil Wayne,47
Transformer (feat. Nicki Minaj),Future,Nicki Minaj,47
From the Garden (feat. Lil Uzi Vert),Isaiah Rashad,Lil Uzi Vert,45
Blastoff (feat. Juice Wrld & Trippie Redd),Internet Money,Juice Wrld & Trippie Redd,1
Burnin Bridges / Long Day (feat. IDK),Quadeca,IDK,0
Work! (feat. PlayThatBoiZay),Quadeca,PlayThatBoiZay,0
Legacy (feat. Travis Scott & 21 Savage),Offset,Travis Scott & 21 Savage,58
GANG GANG (with Lil Wayne),Polo G,Lil Wayne,50
Wavy (Remix) [feat. Travis Scott],Lil Keed,Travis Scott,47
Mamacita (feat. Rich Homie Quan & Young Thug),Travis Scott,Rich Homie Quan & Young Thug,59
"1Train (feat. Kendrick Lamar, Joey Bada$$, Yelawolf, Danny Brown, Action Bronson & Big K.R.I.T.)",A$AP Rocky,"Kendrick Lamar, Joey Bada$$, Yelawolf, Danny Brown, Action Bronson & Big K.R.I.T.",61
Wolves (feat. Post Malone),Big Sean,Post Malone,64
"Body Language (feat. Ty Dolla $ign, and Jhené Aiko)",Big Sean,"Ty Dolla $ign, and Jhené Aiko",44
Wasted (feat. Lil Uzi Vert),Juice WRLD,Lil Uzi Vert,75
Black & White,Juice WRLD,White,72
Scared Of Love (with instrumental by Ghost Loft),Juice WRLD,instrumental by Ghost Loft,64
Zack And Codeine,Post Malone,Codeine,56
Psycho (feat. Ty Dolla $ign),Post Malone,Ty Dolla $ign,72
Rich Nigga Shit (feat. Young Thug),21 Savage,Young Thug,74
"Take Me Back To London (Remix) [feat. Stormzy, Jaykae & Aitch]",Ed Sheeran,"Stormzy, Jaykae & Aitch",44
Nights Like This (feat. Ty Dolla $ign),Kehlani,Ty Dolla $ign,70
Don’t Go (with Justin Bieber & Don Toliver),Skrillex,Don Toliver,55
The Lake (feat. Gustave Rudman),Labrinth,Gustave Rudman,38
Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix],Internet Money,Roddy Ricch & Don Toliver,18
Thor's Hammer Worthy (feat. ZillaKami),DJ Scheme,ZillaKami,47
E-ER (feat. Lil Yachty),DJ Scheme,Lil Yachty,65
Splurgin (feat. Shakewell),DJ Scheme,Shakewell,26
"Floyd Mayweather (feat. Travis Scott, Gucci Mane and Gunna)",Young Thug,"Travis Scott, Gucci Mane and Gunna",51
Pick Up The Phone (feat. Quavo),Young Thug,Quavo,0
Rich Nigga Shit (with Juice WRLD),Young Thug,Juice WRLD,51
No Return (with The Kid LAROI & Lil Durk),Polo G,Lil Durk,53
Fame & Riches (with Roddy Ricch),Polo G,Riches,46
Lean 4 Real (feat. Skepta),Playboi Carti,Skepta,65
Right Now (feat. Pi'erre Bourne),Playboi Carti,Pi'erre Bourne,61
Poke It Out (with Nicki Minaj),Playboi Carti,Nicki Minaj,59
Mileage (feat. Chief Keef),Playboi Carti,Chief Keef,61
Choppa Won't Miss (feat. Young Thug),Playboi Carti,Young Thug,61
Draft Day,Drake,Day,49
Jodeci Freestyle (feat. J. Cole),Drake,J. Cole,50
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,Lil Baby & DaBaby,73
Ps & Qs,Lil Uzi Vert,Qs,60
"CHOPPA SHOOT THE LOUDEST (with Chief Keef, feat.Trippie Redd)",Lil Tecca,"Chief Keef, feat.Trippie Redd",50
TRAGIC (feat. Youngboy Never Broke Again & Internet Money),The Kid LAROI,Youngboy Never Broke Again & Internet Money,1
FEEL SOMETHING (feat. Marshmello),The Kid LAROI,Marshmello,0
No Honorable Mention (feat. Quavo and Lil Mosey),Trippie Redd,Quavo and Lil Mosey,0
Mood (feat. Chris Brown),Trippie Redd,Chris Brown,0
So Stressed (feat. Yung LB),Trippie Redd,Yung LB,0
RELENTLESS (feat. Lil Uzi Vert),Gunna,Lil Uzi Vert,53
Rags2Riches 2 (feat. Lil Baby),Rod Wave,Lil Baby,0
Timeless (feat. Playboi Carti),The Weeknd,Playboi Carti,85
